igbo,english
Klas,Class (bt)
Ihe Omụmụ,Lesson (bt)
Akwụkwọ,Book (bt)
Pensụl,Pencil (bt)
Pensụl Mkpisi,Eraser (bt)
Tebụl,Table (bt)
Oche,Chair (bt)
Bọdụ,Board (bt)
Ọgụgụ,Reading (bt)
Ide Ihe,Writing (bt)
Mgbakọ,Mathematics (bt)
Sayensị,Science (bt)
Bekee,English Language (bt)
Igbo,Igbo Language (bt)
Akụkọ Ihe Mere Eme,History (bt)
Egwuregwu,Sports (bt)
Ọmụmụ Ihe,Learning (bt)
Nkuzi,Teaching (bt)
Ụbọchị Akwụkwọ,School Day (bt)
Ezumike,Break Time (bt)
Ọrụ Ụlọ,Homework (bt)
Ndị Mụrụ Ụmụakwụkwọ,Parents (bt)
Nlekọta Nwa,Child Care (bt)
Akwụkwọ Ndebanye,Attendance Register (bt)
Ụlọ Klas,Classroom (bt)
Aga m ede WAEC,I will write WAEC (bt)
Aga m ede NECO,I will write NECO (bt)
Aga m ede JAMB,I will write JAMB (bt)
Biology bu isiokwu m kacha amasiri,Biology is my favourite subject (bt)
Kemistri siri ike,Chemistry is difficult (bt)
Physics na-ato m uto,Physics interests me (bt)
Anyi nwere practical taa,We have practical today (bt)
Onye nkuzi sayensi abiara taa,The science teacher came today (bt)
Akwukwo m di n'akwukwo nchekwa m,My notebook is in my school bag (bt)
Anyi na akwadebe maka ule,We are preparing for examinations (bt)
Ụlọ Akwụkwọ Sekọndrị,Secondary School (bt)
Nwa Akwụkwọ,Student (bt)
Isi Nkụzi,Principal (bt)
Vice Principal,Vice Principal (bt)
Nkuzi,Lesson (bt)
Fiziks,Physics (bt)
Kemistri,Chemistry (bt)
Bayoloji,Biology (bt)
Gọọmenti,Government (bt)
Nchịkọta Ahịa,Economics (bt)
Akaụntụ,Accounting (bt)
Geography,Geography (bt)
WAEC,WAEC (bt)
NECO,NECO (bt)
JAMB,JAMB (bt)
Ụlọ Nkuzi,Classroom (bt)
Ọbá Akwụkwọ,Library (bt)
Laboratorị,Laboratory (bt)
Ọrụ Ụlọ,Assignment (bt)
Asambodo,Certificate (bt)
Ngụsị Akwụkwọ,Graduation (bt)
Mmepe Nwa,Student Development (bt)
Nduzi,Guidance (bt)
Ntụgharị asụsụ dị ezigbo mkpa,Translation is very important (bt)
Anyi na-ewu translator ọhụrụ,We are building a new translator (bt)
A ga-atụgharị ahịrịokwu a,This sentence will be translated (bt)
Asụsụ Igbo chọrọ nkwado teknụzụ,The Igbo language needs technological support (bt)
Model ahụ nwere ike ịtụgharị ederede,The model can translate text (bt)
Anyi na-atụgharị Bekee gaa Igbo,We translate English into Igbo (bt)
Anyi na-atụgharị Igbo gaa Bekee,We translate Igbo into English (bt)
Ogo ntụgharị asụsụ dị mkpa,Translation quality is important (bt)
A na-eji BLEU score tụọ ogo ntụgharị,A BLEU score measures translation quality (bt)
Ntụgharị a ziri ezi,This translation is accurate (bt)
igbo,english (bt)
Ndewo,Hello (bt)
Kedu ka ị mere?,How are you? (bt)
Ụtụtụ ọma,Good morning (bt)
Ehihie ọma,Good afternoon (bt)
Mgbede ọma,Good evening (bt)
Ka ọ dị,Welcome (bt)
Daalụ,Thank you (bt)
Biko,Please (bt)
Ndo,Sorry (bt)
Ka ọ dị mma?,Is it okay? (bt)
Aha m bụ John,My name is John (bt)
Kedu aha gị?,What is your name? (bt)
Ebee ka ị si?,Where are you from? (bt)
Anọ m n'ụlọ akwụkwọ,I am in school (bt)
Achọrọ m ịmụ,I want to learn (bt)
Ọ bụ eziokwu,It is true (bt)
Ọ bụghị eziokwu,It is not true (bt)
Anọ m ebe a,I am here (bt)
Bịa ebe a,Come here (bt)
Gaa ụlọ,Go home (bt)
Abum nwa akwukwo mahadum,I am a university student (bt)
Enwerem lecture n'ututu,I have a lecture this morning (bt)
Enwerem seminar echi,I have a seminar tomorrow (bt)
Anyi gara laboratory taa,We went to the laboratory today (bt)
Anyi nyefere assignment anyi,We submitted our assignment (bt)
Aga m echebe project m,I will defend my project (bt)
Prọfesọ anyi nyere anyi oru,Our professor gave us an assignment (bt)
Anyi na-eme nyocha,We are conducting research (bt)
Anyi nwere workshop n'izu a,We have a workshop this week (bt)
Aga m agụ maka ule semester,I will study for the semester examination (bt)
Anyi nwere tutorial taa,We have a tutorial today (bt)
Aga m aga lecture hall,I will go to the lecture hall (bt)
Nwa akwukwo nile no na lecture,All students are in the lecture (bt)
Onye nkuzi juru anyi ajuju,The lecturer asked us questions (bt)
Anyi zara ajuju nile,We answered all the questions (bt)
Aga m ede report,I will write a report (bt)
Anyi nyefere report anyi,We submitted our report (bt)
Aga m eme presentation,I will make a presentation (bt)
Anyi gosiputara nchoputa anyi,We presented our findings (bt)
Prọfesọ toro oru anyi,The professor praised our work (bt)
Anyi nwere practical laboratory,We have a laboratory practical (bt)
Nchoputa a metutara mmuta,This research concerns education (bt)
Anyi gara ogbako omumu,We attended an academic conference (bt)
Aga m ebipụta nchoputa m,I will publish my research (bt)
Anyi jiri SPSS nyochaa data,We used SPSS to analyze data (bt)
Anyi jiri Excel hazie data,We used Excel to organize data (bt)
Onye ndu anyi nyochara chapter mbu,Our supervisor reviewed chapter one (bt)
Aga m ede chapter ise,I will write chapter five (bt)
Anyi chotara ihe di mkpa,We discovered important findings (bt)
Nchoputa anyi gosiri ezigbo nsonaazu,Our research produced good results (bt)
Mahadum,University (bt)
Nwa Akwụkwọ Mahadum,University Student (bt)
Onye Nkụzi,Lecturer (bt)
Prọfesọ,Professor (bt)
Ngalaba,Department (bt)
Fakọlti,Faculty (bt)
Dean,Dean (bt)
Vice Chancellor,Vice Chancellor (bt)
Registrar,Registrar (bt)
Bursar,Bursar (bt)
Ọmụmụ Nna Ukwu,Undergraduate Study (bt)
Ọmụmụ Nna Ochie,Postgraduate Study (bt)
Nna Ukwu Mbụ,First Degree (bt)
Masta,Masters Degree (bt)
Doktọret,Doctorate Degree (bt)
Ndebanye Akwụkwọ,Registration (bt)
Ụgwọ Akwụkwọ,School Fees (bt)
Transcript,Transcript (bt)
Semester,Semester (bt)
Afọ Akwụkwọ,Academic Session (bt)
Nkuzi,Lecture (bt)
Ụlọ Nkuzi,Lecture Hall (bt)
Ndị Nkuzi,Academic Staff (bt)
Ndị Ọrụ,Non Academic Staff (bt)
Nchịkọta GPA,GPA Calculation (bt)
Nchekwa Nsonaazụ,Result Management (bt)
Akwụkwọ Ngụsị Akwụkwọ,Certificate (bt)
Aha m bụ Chinedu,My name is Chinedu (bt)
Abụ m onye Enugu,I am from Enugu (bt)
Kedu ebe ị na-aga?,Where are you going? (bt)
Ana m aga ahịa,I am going to the market (bt)
Ị riela nri?,Have you eaten? (bt)
Ee eriela m,Yes I have eaten (bt)
Mba eribeghị m,No I have not eaten (bt)
Kedu ihe ị chọrọ?,What do you want? (bt)
Achọrọ m mmiri,I want water (bt)
Achọrọ m nri,I want food (bt)
Enwere m agụụ,I am hungry (bt)
Enwere m akpịrị ịkpọ nkụ,I am thirsty (bt)
Biko nyere m aka,Please help me (bt)
Enweghị nsogbu,No problem (bt)
Kedu oge ọ bụ?,What time is it? (bt)
Ọ bụ elekere atọ,It is three o'clock (bt)
Anyi ga-ahụ echi,We will meet tomorrow (bt)
Ka ọ dị ugbu a?,How is everything now? (bt)
Ezinụlọ,Family (bt)
Nna,Father (bt)
Nne,Mother (bt)
Nwa,Child (bt)
Nwanne nwoke,Brother (bt)
Nwanne nwanyị,Sister (bt)
Nna nna,Grandfather (bt)
Nne nne,Grandmother (bt)
Di,Husband (bt)
Nwunye,Wife (bt)
Nwa nwoke,Son (bt)
Nwa nwanyị,Daughter (bt)
Nwanne,Relative (bt)
Ezigbo enyi,Close friend (bt)
Nwa nwanne,Nephew (bt)
Nwa nwanne nwanyị,Niece (bt)
Ezinụlọ m,My family (bt)
A hụrụ m ezinụlọ m n'anya,I love my family (bt)
Anyi bụ ezinụlọ ọma,We are a good family (bt)
Nna m nọ n'ụlọ,My father is at home (bt)
Ka chi fo,Good night (bt)
Kedu?,How are you? (bt)
Adị m mma,I am fine (bt)
Nnọọ,Welcome (bt)
Ka ọ dị?,How is it? (bt)
Ọ dị mma,It is fine (bt)
Ka emesia,See you later (bt)
Nọrọ nke ọma,Stay well (bt)
Jisie ike,Take care (bt)
Ka ọ dị gị?,How are you doing? (bt)
Ekele m gị,I greet you (bt)
Daalụ nke ukwuu,Thank you very much (bt)
Enwere m obi ụtọ,I am happy (bt)
Ọ dị m nwute,I am sorry (bt)
Ụgbọ ala,Car (bt)
Bọs,Bus (bt)
Ụgbọ elu,Airplane (bt)
Ụgbọ mmiri,Boat (bt)
Okporo ụzọ,Road (bt)
Onye ọkwọ ụgbọ ala,Driver (bt)
Tiketi,Ticket (bt)
Njem,Journey (bt)
Ụzọ,Route (bt)
Ebe ụgbọ ala na-akwụsị,Bus Stop (bt)
Ọdụ ụgbọ elu,Airport (bt)
Ọdụ ụgbọ mmiri,Seaport (bt)
Ana m eje ije,I am walking (bt)
Ana m ewere ụgbọ ala,I am taking a car (bt)
Njem ahụ dị ogologo,The journey is long (bt)
Kedu ebe ọdụ ụgbọ ala dị?,Where is the bus stop? (bt)
Bọs ahụ eruola,The bus has arrived (bt)
Anyi na-eme njem taa,We are travelling today (bt)
Ụgbọ ala ahụ mebiri,The car broke down (bt)
Njem ọma,Safe journey (bt)
Gọvanọ kwuru okwu taa.,The governor spoke today. (bt)
A họpụtara onye isi ọhụrụ.,A new leader was elected. (bt)
Ụlọ omeiwu zukọrọ.,The parliament held a meeting. (bt)
Iwu ọhụrụ ahụ amalitela.,The new law has taken effect. (bt)
Ụmụ amaala nwere ikike.,Citizens have rights. (bt)
A ga-eme ntuli aka echi.,The election will take place tomorrow. (bt)
Onye isi ala bịara obodo ahụ.,The president visited the town. (bt)
Minista ahụ nyere akụkọ.,The minister gave a report. (bt)
A na-anakọta ụtụ isi.,Taxes are collected. (bt)
A ga-ewu ụzọ ọhụrụ.,A new road will be constructed. (bt)
Ọfịs ahụ meghere n'ụtụtụ.,The office opened in the morning. (bt)
A kwadoro mmefu ego.,The budget was approved. (bt)
A ga-eme nyocha.,An investigation will be conducted. (bt)
Ha bịanyere aka na nkwekọrịta.,They signed the agreement. (bt)
Obodo chọrọ mmepe.,The community needs development. (bt)
Ọrịa,Disease (bt)
Ịba,Malaria (bt)
Typhoid,Typhoid Fever (bt)
Ọrịa Shuga,Diabetes (bt)
Ọbara Mgbali Elu,Hypertension (bt)
Ọrịa Obi,Heart Disease (bt)
Ọrịa Cancer,Cancer (bt)
Ọrịa Akpịrị,Throat Infection (bt)
Ọrịa Ntị,Ear Infection (bt)
Ọrịa Anya,Eye Disease (bt)
Ọrịa Akpụkpọ Ahụ,Skin Disease (bt)
COVID-19,COVID-19 (bt)
Ọrịa Nkụchi Ume,Asthma (bt)
Ọrịa Ume,Pneumonia (bt)
Tuberculosis,Tuberculosis (bt)
Ọrịa Akụrụ,Kidney Disease (bt)
Ọrịa Imeju,Liver Disease (bt)
Ọrịa Obi Ọjọọ,Heart Failure (bt)
Mgbu Isi,Headache (bt)
Ọkụ Ahụ,Fever (bt)
Ntụrụndụ Ahụ Ike,Recovery (bt)
Mgbu Afọ,Stomach Pain (bt)
Ọgbụgbọ,Vomiting (bt)
Ọsịsa,Diarrhea (bt)
Nsogbu Ura,Sleep Disorder (bt)
Nsogbu Nri,Malnutrition (bt)
Nsogbu Uche,Mental Illness (bt)
Ịda Mbà N'obi,Depression (bt)
Nchekasị,Anxiety (bt)
Ọrịa Na-efe Efe,Infectious Disease (bt)
Ọgwụ,Medicine (bt)
Mkpụrụ Ọgwụ,Tablet (bt)
Capsule,Capsule (bt)
Syrup,Syrup (bt)
Injection,Injection (bt)
Paracetamol,Paracetamol (bt)
Ibuprofen,Ibuprofen (bt)
Antibiotic,Antibiotic (bt)
Antimalarial,Antimalarial Drug (bt)
Vitamin,Vitamin (bt)
Dose,Dosage (bt)
Prescription,Prescription (bt)
Onye Na-enye Ọgwụ,Pharmacist (bt)
Ụlọ Ọgwụ,Pharmacy (bt)
Mgbochi Ọrịa,Vaccine (bt)
Immunization,Immunization (bt)
Ọgwụ Mgbu,Pain Reliever (bt)
Ọgwụ Nchekwa Ahụ,Supplement (bt)
Mgbochi Nsị,Antiseptic (bt)
Bandeeji,Bandage (bt)
Insulin,Insulin (bt)
Drip,Intravenous Fluid (bt)
Sedative,Sedative (bt)
Anaesthesia,Anaesthesia (bt)
Nlekọta Ọgwụ,Medication Management (bt)
Mmeghachi Ọgwụ,Drug Reaction (bt)
Nchekwa Ọgwụ,Drug Storage (bt)
Ụbọchị Ngwụcha Ọgwụ,Expiry Date (bt)
Ọgwụ Akwụkwọ,Prescription Drug (bt)
Ọgwụ Na-enweghị Prescription,Over-the-Counter Drug (bt)
Dọkịta,Doctor (bt)
Nọọsụ,Nurse (bt)
Ụlọ ọgwụ,Hospital (bt)
Onye ọrịa,Patient (bt)
Ahụ ike,Health (bt)
Ọbara,Blood (bt)
Nyocha,Examination (bt)
Ọrịa,Sickness (bt)
Nlekọta,Care (bt)
Dọkịta bịara n'ụtụtụ.,The doctor arrived in the morning. (bt)
Nọọsụ nyere ọgwụ.,The nurse administered medicine. (bt)
Ahụ adịghị ya mma.,He is not feeling well. (bt)
Ha gara ụlọ ọgwụ.,They went to the hospital. (bt)
Nwata ahụ nwere ọkụ.,The child has a fever. (bt)
A ga-enyocha ọbara gị.,Your blood will be tested. (bt)
Na-aṅụ mmiri ọtụtụ.,Drink plenty of water. (bt)
Nri ọma na-eme ka ahụ dị ike.,Good food keeps the body healthy. (bt)
A ga-eme gị ọgwụgwọ.,You will receive treatment. (bt)
Onye ọrịa zuru ike.,The patient rested. (bt)
Ụlọ Ọgwụ,Hospital (bt)
Onye Ọrịa,Patient (bt)
Nlekọta Ọrịa,Patient Care (bt)
Ndebanye Ọrịa,Patient Registration (bt)
Ụlọ Nlekọta Mberede,Emergency Unit (bt)
Ọgwụgwọ,Treatment (bt)
Nnyocha Ahụ Ike,Medical Examination (bt)
Ịwa Ahụ,Surgery (bt)
Nlekọta Ahụ Ike,Healthcare (bt)
Ụlọ Nwata,Children Ward (bt)
Ụlọ Ndị Inyom,Maternity Ward (bt)
Nlekọta Ndị Agadi,Elderly Care (bt)
Nyocha Ọbara,Blood Test (bt)
Nyocha Mmiri,Urine Test (bt)
Ụlọ Ọgwụ Obodo,Clinic (bt)
Ụlọ Ọgwụ Gọọmenti,Government Hospital (bt)
Nlekọta Mberede,Emergency Care (bt)
Nnyefe Ọrịa,Patient Referral (bt)
Ụgbọ Mberede,Ambulance (bt)
Nlekọta Nwaanyị Dị Ime,Antenatal Care (bt)
Ịmụ Nwa,Child Delivery (bt)
Nlekọta Mgbe Amuchara Nwa,Postnatal Care (bt)
Ọgwụgwụ Ọrịa,Discharge (bt)
Nlekọta Ahụike Obodo,Community Health (bt)
Nkwado Ahụike,Health Support (bt)
Nchekwa Ahụ Ike,Health Protection (bt)
Ahụ Ike,Health (bt)
Obi,Heart (bt)
Ụbụrụ,Brain (bt)
Akụrụ,Kidney (bt)
Imeju,Liver (bt)
Akpa Ume,Lungs (bt)
Ọkpụkpụ,Bone (bt)
Akwara,Muscle (bt)
Anya,Eye (bt)
Ntị,Ear (bt)
Imi,Nose (bt)
Ọnụ,Mouth (bt)
Ezé,Tooth (bt)
Akpụkpọ Ahụ,Skin (bt)
Nyocha,Diagnosis (bt)
Nnyocha Ahụ Ike,Medical Checkup (bt)
Nyocha Laboratory,Laboratory Test (bt)
Nsonaazụ Test,Test Result (bt)
Mgbali Ọbara,Blood Pressure (bt)
Ọkwa Shuga,Blood Sugar Level (bt)
Nchekwa Ahụ Ike,Health Safety (bt)
Mmetụta Ọgwụ,Side Effect (bt)
Ahụ́ Ọma,Wellness (bt)
Mgbochi Ọrịa,Disease Prevention (bt)
Nlekọta Ahụike Obodo,Community Healthcare (bt)
Nkwado Ahụ Ike,Health Promotion (bt)
Kọmputa ahụ na-arụ ọrụ nke ọma,The computer is working properly (bt)
Anyi dere ngwanrọ ọhụrụ,We developed new software (bt)
Data ahụ echekwara nke ọma,The data was stored properly (bt)
Ịntanetị anaghị arụ ọrụ taa,The internet is not working today (bt)
Anyi jikọtara sava ahụ,We connected the server (bt)
Cybersecurity,Cybersecurity (bt)
Nchekwa Data,Data Security (bt)
Password,Password (bt)
Authentication,Authentication (bt)
Encryption,Encryption (bt)
Firewall,Firewall (bt)
Virus,Virus (bt)
Malware,Malware (bt)
Spyware,Spyware (bt)
Phishing,Phishing (bt)
Attack,Attack (bt)
Threat,Threat (bt)
Risk,Risk (bt)
Vulnerability,Vulnerability (bt)
Hacker,Hacker (bt)
Ethical Hacker,Ethical Hacker (bt)
Network Security,Network Security (bt)
Access Control,Access Control (bt)
Data Breach,Data Breach (bt)
Security Policy,Security Policy (bt)
Backup,Backup (bt)
Recovery,Recovery (bt)
Monitoring,Monitoring (bt)
Audit,Audit (bt)
VPN,VPN (bt)
Two Factor Authentication,Two Factor Authentication (bt)
Digital Certificate,Digital Certificate (bt)
Security Update,Security Update (bt)
Cloud Security,Cloud Security (bt)
Incident Response,Incident Response (bt)
Database,Database (bt)
Ahịrị,Row (bt)
Kọlụm,Column (bt)
Primary Key,Primary Key (bt)
Foreign Key,Foreign Key (bt)
SQL,SQL (bt)
MySQL,MySQL (bt)
PostgreSQL,PostgreSQL (bt)
SQLite,SQLite (bt)
MongoDB,MongoDB (bt)
Query,Query (bt)
Insert,Insert (bt)
Update,Update (bt)
Delete,Delete (bt)
Select,Select (bt)
Index,Index (bt)
Restore,Restore (bt)
Database Server,Database Server (bt)
Schema,Schema (bt)
Migration,Migration (bt)
Record,Record (bt)
Transaction,Transaction (bt)
Data Integrity,Data Integrity (bt)
Normalization,Normalization (bt)
CSV File,CSV File (bt)
Storage,Storage (bt)
Kọmputa,Computer (bt)
Ngwanrọ,Software (bt)
Ngwaike,Hardware (bt)
Ịntanetị,Internet (bt)
Nchekwa,Storage (bt)
Sava,Server (bt)
Netwọk,Network (bt)
Mmemme,Program (bt)
Algorithm,Algorithm (bt)
Mmepe Weebụ,Web Development (bt)
Weebụsaịtị,Website (bt)
Peeji Weebụ,Web Page (bt)
Frontend,Frontend (bt)
Backend,Backend (bt)
Server,Server (bt)
Client,Client (bt)
HTML,HTML (bt)
CSS,CSS (bt)
React,React (bt)
Vue,Vue (bt)
Angular,Angular (bt)
API,API (bt)
REST API,REST API (bt)
FastAPI,FastAPI (bt)
Django,Django (bt)
Authorization,Authorization (bt)
Login,Login (bt)
Signup,Signup (bt)
Dashboard,Dashboard (bt)
Deployment,Deployment (bt)
Hosting,Hosting (bt)
Domain Name,Domain Name (bt)
Responsive Design,Responsive Design (bt)
User Interface,User Interface (bt)
User Experience,User Experience (bt)
Navigation,Navigation (bt)
Web Application,Web Application (bt)
Software Engineering,Software Engineering (bt)
System Design,System Design (bt)
Requirement,Requirement (bt)
Analysis,Analysis (bt)
Implementation,Implementation (bt)
Testing,Testing (bt)
Maintenance,Maintenance (bt)
Documentation,Documentation (bt)
Project,Project (bt)
Sprint,Sprint (bt)
Agile,Agile (bt)
Scrum,Scrum (bt)
Bug,Bug (bt)
Feature,Feature (bt)
Release,Release (bt)
Repository,Repository (bt)
GitHub,GitHub (bt)
GitLab,GitLab (bt)
Branch,Branch (bt)
Merge,Merge (bt)
Pull Request,Pull Request (bt)
Code Review,Code Review (bt)
Architecture,Architecture (bt)
Module,Module (bt)
Component,Component (bt)
Workflow,Workflow (bt)
Lifecycle,Lifecycle (bt)
Development Team,Development Team (bt)
Kọmputa ahụ na-arụ ọrụ nke ọma.,The computer is working properly. (bt)
Ana m eji ekwentị m eme ihe.,I am using my phone. (bt)
Ịntanetị ahụ dị ngwa.,The internet is fast. (bt)
Ha wụnyere ngwanrọ ọhụrụ.,They installed new software. (bt)
Paswọọdụ ahụ dị nchebe.,The password is secure. (bt)
Sava ahụ kwụsịrị ịrụ ọrụ.,The server stopped working. (bt)
Ana m ebudata faịlụ ahụ.,I am downloading the file. (bt)
Ana m ezipu ozi email.,I am sending an email. (bt)
Ekwentị ọhụrụ ahụ dị mma.,The new phone is good. (bt)
Ngwa ahụ chọrọ mmelite.,The application needs an update. (bt)
Ana m eji Wi-Fi.,I am using Wi-Fi. (bt)
Nchekwa data dị mkpa.,Data security is important. (bt)
Robot ahụ na-arụ ọrụ ngwa ngwa.,The robot works quickly. (bt)
Ana m ede koodu ọhụrụ.,I am writing new code. (bt)
Sistemụ ahụ malitere ọzọ.,The system restarted. (bt)
Faịlụ ahụ echekwara nke ọma.,The file was saved successfully. (bt)
Ngwaọrụ ahụ nwere batrị ọhụrụ.,The device has a new battery. (bt)
Ha jikọtara netwọk ahụ.,They connected the network. (bt)
Ngwanrọ ahụ dị mfe iji.,The software is easy to use. (bt)
Ana m echekwa akwụkwọ ahụ n'igwe ojii.,I am saving the document to the cloud. (bt)
